ID,Chapter,Verse,Shloka,Transliteration,HinMeaning,EngMeaning_x,WordMeaning,Keywords,concept,EngMeaning_y,context_tags
BG6.27,6,27,"प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम् |
उपैति शान्तरजसं ब्रह्मभूतमकल्मषम् ||६-२७||","praśāntamanasaṃ hyenaṃ yoginaṃ sukhamuttamam .
upaiti śāntarajasaṃ brahmabhūtamakalmaṣam ||6-27||","।।6.27।। जिसका मन प्रशान्त है, जो पापरहित (अकल्मषम्) है और जिसका रजोगुण (विक्षेप) शांत हुआ है, ऐसे ब्रह्मरूप हुए इस योगी को उत्तम सुख प्राप्त होता है।।","6.27 Supreme Bliss verily comes to this Yogi whose mind is ite peaceful, whose passion is ieted, who has become Brahman and who is free from sin.",6.27 प्रशान्तमनसम् one of peaceful mind? हि verily? एनम् this? योगिनम् Yogi? सुखम् bliss? उत्तमम् supreme? उपैति comes? शान्तरजसम् one whose passion is ieted? ब्रह्मभूतम् one who has become Brahman? अकल्मषम् one who is free from sin.Commentary In this verse and in the next also the Lord describes the benefits of Yoga.Supreme (eternal? unalloyed and uninterrupted) bliss comes to the Yogi whose mind is perfectly serene? who has calmed his passionate nature? who has destroyed all sorts of attachments? who has attained knowledge of the Self and thus become a Jivanmukta or one who is liberated while living? who feels that all is Brahman only? and who is taintless? i.e.? who is not affected by Dharma or Adharma (good or evil).,"one, peaceful, mind, verily, this, yogi, bliss, supreme, comes, one, whose, passion, ieted, one, who, has, become, brahman, one, who, free, from, sin, commentary, this, verse, and, the, next, also, the, lord, describes, the, benefits, yoga, supreme, eternal, unalloyed, and, uninterrupted, bliss, comes, the, yogi, whose, mind, perfectly, serene, who, has, calmed, his, passionate, nature, who, has, destroyed, all, sorts, attachments, who, has, attained, knowledge, the, self, and, thus, become, jivanmukta, one, who, liberated, while, living, who, feels, that, all, brahman, only, and, who, taintless, who, not, affected, dharma, adharma, good, evil","Existence, Mind, Knowledge","The yogi whose mind is fixed on Me verily attains the highest perfection of transcendental happiness. He is beyond the mode of passion, he realizes his qualitative identity with the Supreme, and thus he is liberated from all previous reactions.","Mind, Devotion, Inner Peace"
BG6.28,6,28,"युञ्जन्नेवं सदात्मानं योगी विगतकल्मषः |
सुखेन ब्रह्मसंस्पर्शमत्यन्तं सुखमश्नुते ||६-२८||","yuñjannevaṃ sadātmānaṃ yogī vigatakalmaṣaḥ .
sukhena brahmasaṃsparśamatyantaṃ sukhamaśnute ||6-28||",।।6.28।। इस प्रकार मन को सदा आत्मा में स्थिर करने का योग करने वाला पापरहित योगी सुखपूर्वक ब्रह्मसंस्पर्श का परम सुख प्राप्त करता है।।,"6.28 The Yogi, always engaging the mind thus (in the practice of Yoga), freed from sins, easily enjoys the Infinite Bliss of contact with Brahman (the Eternal).",6.28 युञ्जन् practising Yoga? एवम् thus? सदा always? आत्मानम् the self? योगी Yogi? विगतकल्मषः freed from sin? सुखेन easily? ब्रह्मसंस्पर्शम् caused by contact with Brahman? अत्यन्तम् infinite? सुखम् bliss? अश्नुते enjoys.Commentary By Yogic practices such as the withdrawal of the senses? concentration and meditation he loses contact with the objects of the senses and comes into contact with Brahman or the immortal Self within and thus enjoys the Infinite Bliss of Brahman.Sensual pleasures are transitory or fleeting but the bliss of Brahman is uninterrupted? undecaying and everlasting. That is the reason why one should attempt to realise the Self within.The Yogi removes the obstacles that stand in the way of obtaining union with the Lord and thus always keeps the mind steady in the Self.,"practising, yoga, thus, always, the, self, yogi, freed, from, sin, easily, caused, contact, with, brahman, infinite, bliss, enjoys, commentary, yogic, practices, such, the, withdrawal, the, senses, concentration, and, meditation, loses, contact, with, the, objects, the, senses, and, comes, into, contact, with, brahman, the, immortal, self, within, and, thus, enjoys, the, infinite, bliss, brahman, sensual, pleasures, are, transitory, fleeting, but, the, bliss, brahman, uninterrupted, undecaying, and, everlasting, that, the, reason, why, one, should, attempt, realise, the, self, within, the, yogi, removes, the, obstacles, that, stand, the, way, obtaining, union, with, the, lord, and, thus, always, keeps, the, mind, steady, the, self","Existence, Mind","Thus the self-controlled yogi, constantly engaged in yoga practice, becomes free from all material contamination and achieves the highest stage of perfect happiness in transcendental loving service to the Lord.","Self, Devotion, Inner Peace"
BG6.29,6,29,"सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि |
ईक्षते योगयुक्तात्मा सर्वत्र समदर्शनः ||६-२९||","sarvabhūtasthamātmānaṃ sarvabhūtāni cātmani .
īkṣate yogayuktātmā sarvatra samadarśanaḥ ||6-29||",।।6.29।। योगयुक्त अन्त:करण वाला और सर्वत्र समदर्शी योगी आत्मा को सब भूतों में और भूतमात्र को आत्मा में देखता है।।,6.29 With the mind harmonised by Yoga he sees the Self abiding in all beings and all beings in the Self; he sees the same everywhere.,"6.29 सर्वभूतस्थम् abiding in all beings? आत्मानम् the Self? सर्वभूतानि all beings? च and? आत्मनि in the Self?,ईक्षते sees? योगयुक्तात्मा one who is harmonised by Yoga? सर्वत्र everywhere? समदर्शनः one who sees the same everywhere.Commentary The Yogi beholds through the eye of intuition (JnanaChakshus or DivyaChakshus) oneness or unity of the Self everywhere. This is a sublime and magnanimous vision indeed. He feels? All indeed is Brahman. He beholds that all beings are one with Brahman and that the Self and Brahman are identical.","abiding, all, beings, the, self, all, beings, and, the, self, sees, one, who, harmonised, yoga, everywhere, one, who, sees, the, same, everywhere, commentary, the, yogi, beholds, through, the, eye, intuition, jnanachakshus, divyachakshus, oneness, unity, the, self, everywhere, this, sublime, and, magnanimous, vision, indeed, feels, all, indeed, brahman, beholds, that, all, beings, are, one, with, brahman, and, that, the, self, and, brahman, are, identical",Existence,"A true yogi observes Me in all beings and also sees every being in Me. Indeed, the self-realized person sees Me, the same Supreme Lord, everywhere.","Self, Knowledge, Equanimity"
BG6.30,6,30,"यो मां पश्यति सर्वत्र सर्वं च मयि पश्यति |
तस्याहं न प्रणश्यामि स च मे न प्रणश्यति ||६-३०||","yo māṃ paśyati sarvatra sarvaṃ ca mayi paśyati .
tasyāhaṃ na praṇaśyāmi sa ca me na praṇaśyati ||6-30||","।।6.30।। जो पुरुष मुझे सर्वत्र देखता है और सबको मुझमें देखता है, उसके लिए मैं नष्ट नहीं होता (अर्थात् उसके लिए मैं दूर नहीं होता) और वह मुझसे वियुक्त नहीं होता।।","6.30 He who sees Me everywhere and sees everything in Me, he never becomes separated from Me, nor do I become separated from him.",6.30 यः who? माम् Me? पश्यति sees? सर्वत्र everywhere? सर्वम् all? च and? मयि in Me? पश्यति sees? तस्य of him? अहम् I? न not? प्रणश्यामि vanish? सः he? च and? मे to Me? न not? प्रणश्यति vanishes.Commentary In this verse the Lord describes the effect of the vision of the unity of the Self or oneness.He who sees Me? the Self of all? in all beings? and everything (from Brahma the Creator down to the blade of grass) in Me? I am not lost to him? nor is he lost to Me. I and the sage or seer of unity of the Self become identical or one and the same. I never leave his presence nor does he leave My presence. I never lose hold of him nor does he lose hold of Me. I dwell in him and he dwells in Me.,"who, sees, everywhere, all, and, sees, him, not, vanish, and, not, vanishes, commentary, this, verse, the, lord, describes, the, effect, the, vision, the, unity, the, self, oneness, who, sees, the, self, all, all, beings, and, everything, from, brahma, the, creator, down, the, blade, grass, not, lost, him, nor, lost, and, the, sage, seer, unity, the, self, become, identical, one, and, the, same, never, leave, his, presence, nor, does, leave, presence, never, lose, hold, him, nor, does, lose, hold, dwell, him, and, dwells","Existence, Confusion, Outcome","For one who sees Me everywhere and sees everything in Me, I am never lost, nor is he ever lost to Me.","Devotion, Knowledge, Soul"
BG6.31,6,31,"सर्वभूतस्थितं यो मां भजत्येकत्वमास्थितः |
सर्वथा वर्तमानोऽपि स योगी मयि वर्तते ||६-३१||","sarvabhūtasthitaṃ yo māṃ bhajatyekatvamāsthitaḥ .
sarvathā vartamāno.api sa yogī mayi vartate ||6-31||","।।6.31।। जो पुरुष एकत्वभाव मंे स्थित हुआ सम्पूर्ण भूतों में स्थित मुझे भजता है, वह योगी सब प्रकार से वर्तता हुआ (रहता हुआ) मुझमें स्थित रहता है।।","6.31 He who, being established in unity, worships Me Who dwells in all beings, that Yogi abides in Me, whatever may be his mode of living.",6.31 सर्वभूतस्थितम् abiding in all beings? यः who? माम् Me? भजति worships? एकत्वम् unity? आस्थितः established? सर्वथा in every way? वर्तमानः remaining? अपि also? सः that? योगी Yogi? मयि in Me? वर्तते abides.Commentary He who has dissolved all duality in the underlying unity? who is thus established in unity? who worships Me? i.e.? who has realised Me as the Self of all? dwells always in Me? whatever his mode of living may be. He is ever liberated.Sadana lived in God though he was a butcher because his mind was ever fixed at the lotus feet of the Lord.,"abiding, all, beings, who, worships, unity, established, every, way, remaining, also, that, yogi, abides, commentary, who, has, dissolved, all, duality, the, underlying, unity, who, thus, established, unity, who, worships, who, has, realised, the, self, all, dwells, always, whatever, his, mode, living, may, ever, liberated, sadana, lived, god, though, was, butcher, because, his, mind, was, ever, fixed, the, lotus, feet, the, lord","Existence, Mind","Such a yogi, who engages in the worshipful service of the Supersoul, knowing that I and the Supersoul are one, remains always in Me in all circumstances.","Devotion, Self, Knowledge"
BG6.32,6,32,"आत्मौपम्येन सर्वत्र समं पश्यति योऽर्जुन |
सुखं वा यदि वा दुःखं स योगी परमो मतः ||६-३२||","ātmaupamyena sarvatra samaṃ paśyati yo.arjuna .
sukhaṃ vā yadi vā duḥkhaṃ sa yogī paramo mataḥ ||6-32||","।।6.32।। हे अर्जुन ! जो पुरुष अपने समान सर्वत्र सम देखता है, चाहे वह सुख हो या दु:ख, वह परम योगी माना गया है।।","6.32 He who, through the likeness of the Self, O Arjuna, sees eality everywhere, be it pleasure or pain, he is regarded as the highest Yogi.",6.32 आत्मौपम्येन through the likeness of the Self? सर्वत्र everywhere? समम् eality? पश्यति sees? यः who? अर्जुन O Arjuna? सुखम् pleasure? वा and? यदि if? वा or? दुःखम् pain? सः he? योगी Yogi? परमः highest? मतः is regarded.Commentary He sees that whatever is pleasure or pain to himself is also pleasure or pain to all other beings. He does not harm anyone. He is ite harmless. He wishes good to all. He is compassionate to all creatures. He has a very soft and large heart. He sees thus eality everywhere as he is endowed with the right knowlede of the Self? as he beholds the Self only everywhere? and as he is established in the unity of the Self. Therefore he is considered as the highest among all Yogis. (Cf.VI.47),"through, the, likeness, the, self, everywhere, eality, sees, who, arjuna, pleasure, and, pain, yogi, highest, regarded, commentary, sees, that, whatever, pleasure, pain, himself, also, pleasure, pain, all, other, beings, does, not, harm, anyone, ite, harmless, wishes, good, all, compassionate, all, creatures, has, very, soft, and, large, heart, sees, thus, eality, everywhere, endowed, with, the, right, knowlede, the, self, beholds, the, self, only, everywhere, and, established, the, unity, the, self, therefore, considered, the, highest, among, all, yogis","Existence, Suffering","He is a perfect yogi who, by comparison to his own self, sees the true equality of all beings, in both their happiness and their distress, O Arjuna!","Equanimity, Compassion, Self"
BG6.33,6,33,"अर्जुन उवाच |
योऽयं योगस्त्वया प्रोक्तः साम्येन मधुसूदन |
एतस्याहं न पश्यामि चञ्चलत्वात्स्थितिं स्थिराम् ||६-३३||","arjuna uvāca .
yo.ayaṃ yogastvayā proktaḥ sāmyena madhusūdana .
etasyāhaṃ na paśyāmi cañcalatvātsthitiṃ sthirām ||6-33||","।।6.33।। अर्जुन ने कहा --  हे मधुसूदन ! जो यह साम्य योग आपने कहा, मैं मन के चंचल होने से इसकी चिरस्थायी स्थिति को नहीं देखता हूं।।","6.33 Arjuna said  This Yoga of eanimity taught by Thee, O Krishna, I do not see its steady continuance, because of the restlessness (of the mind).",6.33 यः which? अयम् this? योगः Yoga? त्वया by Thee? प्रोक्तः taught? साम्येन by eanimity? मधुसूदन O slayer of Madhu? एतस्य its? अहम् I? न not? पश्यामि see? चञ्चलत्वात् from restlessness? स्थितिम् continuance? स्थिराम् steady.Commentary As the mind is restless? impetuous and unsteady I find it difficult to practise this Yoga of eanimity declared by Thee. O my Lord? I cannot have steady concentration of the mind? as it wanders here and there in the twinkling of an eye.,"which, this, yoga, thee, taught, eanimity, slayer, madhu, its, not, see, from, restlessness, continuance, steady, commentary, the, mind, restless, impetuous, and, unsteady, find, difficult, practise, this, yoga, eanimity, declared, thee, lord, cannot, have, steady, concentration, the, mind, wanders, here, and, there, the, twinkling, eye",Mind,"Arjuna said: O Madhusudana, the system of yoga which You have summarized appears impractical and unendurable to me, for the mind is restless and unsteady.","Confusion, Mind, Discipline"
BG6.34,6,34,"चञ्चलं हि मनः कृष्ण प्रमाथि बलवद् दृढम् |
तस्याहं निग्रहं मन्ये वायोरिव सुदुष्करम् ||६-३४||","cañcalaṃ hi manaḥ kṛṣṇa pramāthi balavad dṛḍham .
tasyāhaṃ nigrahaṃ manye vāyoriva suduṣkaram ||6-34||",।।6.34।। क्योंकि हे कृष्ण ! यह मन चंचल और प्रमथन स्वभाव का तथा बलवान् और दृढ़ है; उसका निग्रह करना मैं वायु के समान अति दुष्कर मानता हूँ ।।,"6.34 The mind verily is restless, turbulent, strong and unyielding, O Krishna: I deem it as difficult to control it as to control the wind.",6.34 चञ्चलम् restless? हि verily? मनः the mind? कृष्ण O Krishna? प्रमाथि turbulent? बलवत् strong? दृढम् unyielding? तस्य of it? अहम् I? निग्रहम् control? मन्ये think? वायोः of the wind? इव as? सुदुष्करम् difficult to do.Commentary The mind constantly changes its objects and so it is ever restless.Krishna is derived from Krish which means to scrape. He scrapes all the sins? evils? and the causes of evil from the hearts of His devotees. Therefore He is called Krishna.The mind is not only restless but also turbulent or impetuous? strong and obstinate. It produces violent agitation in the body and the senses. The mind is drawn by the objects in all directions. It works always in conjunction with the five senses. It is drawn by them to the five kinds of objects. Therefore it is ever restless. It enjoys the five kinds of sensobjects with the help of these senses and the body. Therefore it makes them subject to external influences. It is even more difficult to control it than to control the wind. The mind is born of Vayutanmatra (wind rootelement). That is the reason why it is as restless as the wind.,"restless, verily, the, mind, krishna, turbulent, strong, unyielding, control, think, the, wind, difficult, commentary, the, mind, constantly, changes, its, objects, and, ever, restless, krishna, derived, from, krish, which, means, scrape, scrapes, all, the, sins, evils, and, the, causes, evil, from, the, hearts, his, devotees, therefore, called, krishna, the, mind, not, only, restless, but, also, turbulent, impetuous, strong, and, obstinate, produces, violent, agitation, the, body, and, the, senses, the, mind, drawn, the, objects, all, directions, works, always, conjunction, with, the, five, senses, drawn, them, the, five, kinds, objects, therefore, ever, restless, enjoys, the, five, kinds, sensobjects, with, the, help, these, senses, and, the, body, therefore, makes, them, subject, external, influences, even, more, difficult, control, than, control, the, wind, the, mind, born, vayutanmatra, wind, rootelement, that, the, reason, why, restless, the, wind","Existence, Mind","For the mind is restless, turbulent, obstinate, and very strong, O Krishna, and to subdue it, I think, is more difficult than controlling the wind.","Mind, Discipline, Confusion"
BG6.35,6,35,"श्रीभगवानुवाच |
असंशयं महाबाहो मनो दुर्निग्रहं चलम् |
अभ्यासेन तु कौन्तेय वैराग्येण च गृह्यते ||६-३५||","śrībhagavānuvāca .
asaṃśayaṃ mahābāho mano durnigrahaṃ calam .
abhyāsena tu kaunteya vairāgyeṇa ca gṛhyate ||6-35||","।।6.35।। श्रीभगवान् कहते हैं --  हे महबाहो ! नि:सन्देह मन चंचल और कठिनता से वश में होने वाला है; परन्तु, हे कुन्तीपुत्र ! उसे अभ्यास और वैराग्य के द्वारा वश में किया जा सकता है।।","6.35 The Blessed Lord said  Undoubtedly, O mighty-armed Arjuna, the mind is difficult to control and restless; but by practice and by dispassion it may be restrained.",6.35 असंशयम् undoubtedly? महाबाहो O mightyarmed? मनः the mind? दुर्निग्रहम् difficult to control? चलम् restless? अभ्यासेन by practice? तु but? कौन्तेय O Kaunteya? वैराग्येण by dispassion? च and? गृह्यते is restrained. Commentary The constant or repeated effort to keep the wandering mind steady by constant meditation on the Lakshya (centre? ideal? goal or object of meditation) is Abhyasa or practice. The same idea or thought of the Self or God is constantly repeated. This constant repetition destroys Vikshepa or the vacillation of the mind and desires? and makes it steady and onepointed.Vairagya is dispassion or indifference to senseobjects in this world or in the other? here or hereafter? seen or unseen? heard or unheard? achieved through constantly looking into the evil in them (DoshaDrishti). You will have to train the mind by constant reflection on the immortal? allblissful Self. You must make the mind realise the transitory nature of the wordly enjoyments. You must suggest to the mind to look for its enjoyment not in the perishable and changing external objects but in the immortal? changeless Self within. Gradually the mind will be withdrawn from the external objects.,"undoubtedly, mightyarmed, the, mind, difficult, control, restless, practice, but, kaunteya, dispassion, and, restrained, commentary, the, constant, repeated, effort, keep, the, wandering, mind, steady, constant, meditation, the, lakshya, centre, ideal, goal, object, meditation, abhyasa, practice, the, same, idea, thought, the, self, god, constantly, repeated, this, constant, repetition, destroys, vikshepa, the, vacillation, the, mind, and, desires, and, makes, steady, and, onepointed, vairagya, dispassion, indifference, senseobjects, this, world, the, other, here, hereafter, seen, unseen, heard, unheard, achieved, through, constantly, looking, into, the, evil, them, doshadrishti, you, will, have, train, the, mind, constant, reflection, the, immortal, allblissful, self, you, must, make, the, mind, realise, the, transitory, nature, the, wordly, enjoyments, you, must, suggest, the, mind, look, for, its, enjoyment, not, the, perishable, and, changing, external, objects, but, the, immortal, changeless, self, within, gradually, the, mind, will, withdrawn, from, the, external, objects","Existence, Mind, Karma","Lord Sri Krishna said: O mighty-armed son of Kunti, it is undoubtedly very difficult to curb the restless mind, but it is possible by suitable practice and by detachment.","Mind, Discipline, Detachment"
BG6.36,6,36,"असंयतात्मना योगो दुष्प्राप इति मे मतिः |
वश्यात्मना तु यतता शक्योऽवाप्तुमुपायतः ||६-३६||","asaṃyatātmanā yogo duṣprāpa iti me matiḥ .
vaśyātmanā tu yatatā śakyo.avāptumupāyataḥ ||6-36||","।।6.36।। असंयत मन के पुरुष द्वारा योग प्राप्त होना कठिन है, परन्तु स्वाधीन मन वाले प्रयत्नशील पुरुष द्वारा उपाय से योग प्राप्त होना संभव है, यह मेरा मत है।।","6.36 I think Yoga is hard to be attained by one of uncontrolled self, but the self-controlled and striving one can attain to it by the (proper) means.",6.36 असंयतात्मना by a man of uncontrolled self? योगः Yoga? दुष्प्रापः hard to attain? इति thus? मे My? मतिः opinion? वश्यात्मना by the selfcontrolled one? तु but? यतता by the striving one? शक्यः possible? अवाप्तुम् to obtain? उपायतः by (proper) means.Commentary Uncontrolled self he who has not controlled the senses and the mind by the constant practice of dispassion and meditation. Selfcontrolled he who has controlled the mind by the constant practice of dispassion and meditation. He can attain Selfrealisation by the right means and constant endeavour.,"man, uncontrolled, self, yoga, hard, attain, thus, opinion, the, selfcontrolled, one, but, the, striving, one, possible, obtain, proper, means, commentary, uncontrolled, self, who, has, not, controlled, the, senses, and, the, mind, the, constant, practice, dispassion, and, meditation, selfcontrolled, who, has, controlled, the, mind, the, constant, practice, dispassion, and, meditation, can, attain, selfrealisation, the, right, means, and, constant, endeavour","Existence, Mind","For one whose mind is unbridled, self-realization is difficult work. But he whose mind is controlled and who strives by appropriate means is assured of success. That is My opinion.","Mind, Self, Discipline"
BG6.37,6,37,"अर्जुन उवाच |
अयतिः श्रद्धयोपेतो योगाच्चलितमानसः |
अप्राप्य योगसंसिद्धिं कां गतिं कृष्ण गच्छति ||६-३७||","arjuna uvāca .
ayatiḥ śraddhayopeto yogāccalitamānasaḥ .
aprāpya yogasaṃsiddhiṃ kāṃ gatiṃ kṛṣṇa gacchati ||6-37||","।।6.37।। अर्जुन ने कहा -- हे कृष्ण ! जिसका मन योग से चलायमान हो गया है, ऐसा अपूर्ण प्रयत्न वाला (अयति) श्रद्धायुक्त पुरुष योग की सिद्धि को न प्राप्त होकर किस गति को प्राप्त होता है?","6.37 Arjuna said  He who is unable to control himself though he has the faith, and whose mind wanders away from Yoga, what end does he, having failed to attain perfection in Yoga, mee,t O Krishna?","6.37 अयतिः uncontrolled? श्रद्धया by faith? उपेतः possessed? योगात् from Yoga? चलितमानसः one whose mind wanders away? अप्राप्य not having attained? योगसंसिद्धिम् perfection in Yoga? काम् which? गतिम् end? कृष्ण O Krishna? गच्छति meets.Commentary He has faith in the efficacy of Yoga but he is not able to control the senses and the mind. He has no concentration of mind. His mind wanders away when the last breath departs from his body and he loses the memory also. Having failed to achieve perfection in Yoga? i.e.? Selfrealisation or the knowledge of the Self? what path will he tread? and what end will such a man,meet","uncontrolled, faith, possessed, from, yoga, one, whose, mind, wanders, away, not, having, attained, perfection, yoga, which, end, krishna, meets, commentary, has, faith, the, efficacy, yoga, but, not, able, control, the, senses, and, the, mind, has, concentration, mind, his, mind, wanders, away, when, the, last, breath, departs, from, his, body, and, loses, the, memory, also, having, failed, achieve, perfection, yoga, selfrealisation, the, knowledge, the, self, what, path, will, tread, and, what, end, will, such, man, meet","Existence, Knowledge, Devotion, Mind","Arjuna said: O Krishna, what is the destination of the unsuccessful transcendentalist, who in the beginning takes to the process of self-realization with faith but who later desists due to worldly-mindedness and thus does not attain perfection in mysticism?","Confusion, Self, Duty"
BG6.38,6,38,"कच्चिन्नोभयविभ्रष्टश्छिन्नाभ्रमिव नश्यति |
अप्रतिष्ठो महाबाहो विमूढो ब्रह्मणः पथि ||६-३८||","kaccinnobhayavibhraṣṭaśchinnābhramiva naśyati .
apratiṣṭho mahābāho vimūḍho brahmaṇaḥ pathi ||6-38||",।।6.38।। हे महबाहो ! क्या वह ब्रह्म के मार्ग में मोहित तथा आश्रयरहित पुरुष छिन्न-भिन्न मेघ के समान दोनों ओर से भ्रष्ट हुआ नष्ट तो नहीं हो जाता है?,Swami Sivananda did not comment on this sloka,Swami Sivananda did not comment on this sloka,"swami, sivananda, did, not, comment, this, sloka",,"O mighty-armed Krishna, does not such a man, being deviated from the path of transcendence, perish like a riven cloud, with no position in any sphere?","Confusion, Fear, Duty"
BG6.39,6,39,"एतन्मे संशयं कृष्ण छेत्तुमर्हस्यशेषतः |
त्वदन्यः संशयस्यास्य छेत्ता न ह्युपपद्यते ||६-३९||","etanme saṃśayaṃ kṛṣṇa chettumarhasyaśeṣataḥ .
tvadanyaḥ saṃśayasyāsya chettā na hyupapadyate ||6-39||",।।6.39।। हे कृष्ण ! मेरे इस संशय को नि:शेष रूप से छेदन (निराकरण) करने के लिए आप ही योग्य है; क्योंकि आपके अतिरिक्त अन्य कोई इस संशय का छेदन करन वाला (छेत्ता) मिलना संभव नहीं है।।,"6.39 This doubt of mine, O Krishna, do Thou dispel completely; because it is not possible for any but Thee to dispel this doubt.",6.39 एतत् this? मे my? संशयम् doubt? कृष्ण O Krishna? छेत्तुम् to dispel? अर्हसि oughtest? अशेषतः completely? त्वत् than Thou? अन्यः another? संशयस्य of doubt? अस्य of this? छेत्ता dispeller? न not? हि verily? उपपद्यते is fit.Commentary There can be no better teacher than Thee for Thou art the omniscient Lord. Thou alone canst dispel this doubt. A Rishi (seer)? a Deva (god)? or a Muni (sage) will not be able to destroy this doubt.,"this, doubt, krishna, dispel, oughtest, completely, than, thou, another, doubt, this, dispeller, not, verily, fit, commentary, there, can, better, teacher, than, thee, for, thou, art, the, omniscient, lord, thou, alone, canst, dispel, this, doubt, rishi, seer, deva, god, muni, sage, will, not, able, destroy, this, doubt",Confusion,"This is my doubt, O Krishna, and I ask You to dispel it completely. But for You, no one is to be found who can destroy this doubt.","Confusion, Knowledge, Duty"
BG6.40,6,40,"श्रीभगवानुवाच |
पार्थ नैवेह नामुत्र विनाशस्तस्य विद्यते |
न हि कल्याणकृत्कश्चिद् दुर्गतिं तात गच्छति ||६-४०||","śrībhagavānuvāca .
pārtha naiveha nāmutra vināśastasya vidyate .
na hi kalyāṇakṛtkaścid durgatiṃ tāta gacchati ||6-40||","।।6.40।। श्रीभगवान् ने कहा -- हे पार्थ ! उस पुरुष का, न तो इस लोक में और न ही परलोक में ही नाश होता है; हे तात ! कोई भी शुभ कर्म करने वाला दुर्गति को नहीं प्राप्त होता है।।","6.40 The Blessed Lord said  O Arjuna, neither in this world, nor in the next world is there destruction for him; none, verily, who does good, O My son, ever comes to grief.","6.40 पार्थ O Partha, न not, एव verily, इह here, न not, अमुत्र in the next world, विनाशः destruction, तस्य of him, विद्यते is, न not, हि verily, कल्याणकृत् he who does good, कश्चित् anyone, दुर्गतिम् bad state or grief, तात O My son, गच्छति goes.Commentary He who has not succeeded in attaining to perfection in Yoga in this birth will not be destroyed in this world or in the next world. Surely he will not take a birth lower than the present one. What will he attain, then? This is described by the Lord in verses 41, 42, 43 and 44.
Tata: son. A disciple is regarded as a son.","partha, not, verily, here, not, the, next, world, destruction, him, not, verily, who, does, good, anyone, bad, state, grief, son, goes, commentary, who, has, not, succeeded, attaining, perfection, yoga, this, birth, will, not, destroyed, this, world, the, next, world, surely, will, not, take, birth, lower, than, the, present, one, what, will, attain, then, this, described, the, lord, verses, and, tata, son, disciple, regarded, son","Existence, Suffering","The Supreme Personality of Godhead said: Son of Pritha, a transcendentalist engaged in auspicious activities does not meet with destruction either in this world or in the spiritual world; one who does good, My friend, is never overcome by evil.","Karma, Knowledge, Duty"
BG6.41,6,41,"प्राप्य पुण्यकृतां लोकानुषित्वा शाश्वतीः समाः |
शुचीनां श्रीमतां गेहे योगभ्रष्टोऽभिजायते ||६-४१||","prāpya puṇyakṛtāṃ lokānuṣitvā śāśvatīḥ samāḥ .
śucīnāṃ śrīmatāṃ gehe yogabhraṣṭo.abhijāyate ||6-41||",।।6.41।। योगभ्रष्ट पुरुष पुण्यवानों के लोकों को प्राप्त होकर वहाँ दीर्घकाल तक वास करके शुद्ध आचरण वाले श्रीमन्त (धनवान) पुरुषों के घर में जन्म लेता है।।,"6.41 Having attained to the worlds of the righteous and having dwelt there for everlasting years, he who fell from Yoga is rorn in a house of the pure and wealthy.",6.41 प्राप्य having attained? पुण्यकृताम् of the righteous? लोकान् worlds? उषित्वा having dwelt? शाश्वतीः everlasting? समाः years? शुचीनाम् of the pure? श्रीमताम् of the wealty? गेहे in the house? योगभ्रष्टः one fallen from Yoga? अभिजायते is born.Commentary Yogabhrashta one who has fallen from Yoga? i.e.? one who was not able to attain perfection in Yoga? or one who climbed a certain height on the ladder of Yoga but fell down on account of lack of dispassion or slackness in the practice (by becoming a victim to Maya or his turbulent senses).The righteous Those who tread the path of truth? who do virtuous actions such as charity? Yajna? rituals? worship of the Lord? and who act in accordance with the prescribed rules of the scriptures.Everlasting years means only a considerably long period but not absolutely everlasting.The pure those who lead a pure? moral life those who have a pure heart (free from jealousy? hatred? pride? greed? etc.). (Cf.IX.20?21),"having, attained, the, righteous, worlds, having, dwelt, everlasting, years, the, pure, the, wealty, the, house, one, fallen, from, yoga, born, commentary, yogabhrashta, one, who, has, fallen, from, yoga, one, who, was, not, able, attain, perfection, yoga, one, who, climbed, certain, height, the, ladder, yoga, but, fell, down, account, lack, dispassion, slackness, the, practice, becoming, victim, maya, his, turbulent, senses, the, righteous, those, who, tread, the, path, truth, who, virtuous, actions, such, charity, yajna, rituals, worship, the, lord, and, who, act, accordance, with, the, prescribed, rules, the, scriptures, everlasting, years, means, only, considerably, long, period, but, not, absolutely, everlasting, the, pure, those, who, lead, pure, moral, life, those, who, have, pure, heart, free, from, jealousy, hatred, pride, greed, etc","Existence, Ego, Karma, Knowledge, Devotion, Dharma, Detachment","The unsuccessful yogi, after many, many years of enjoyment on the planets of the pious living entities, is born into a family of righteous people, or into a family of rich aristocracy.","Karma, Life, Soul"
